"","event","secondary_type","event_team","event_team_type","description","period","period_seconds","home_score","away_score","event_player_1_name","event_player_2_name","strength_state","strength_code","event_idx","x","y","x_fixed","y_fixed","shot_distance","shot_angle","game_id","event_player_1_id","event_player_2_id","event_player_2_link","period_type","event_team_id","event_team_abbr","home_final","away_final","season","venue_name","home_abbreviation","away_abbreviation","home_goalie","away_goalie"
"495","Shot","Penalty Shot","Vegas Golden Knights","home","Jonathan Marchessault Wrist Shot saved by Ukko-Pekka Luukkonen",3,783,1,3,"Jonathan.Marchessault","Ukko.Pekka.Luukkonen","5v5","EV","0659",-85,10,85,-10,10.8,68.2,2022020507,8476539,8480045,"/api/v1/people/8480045","REGULAR",54,"VGK",2,3,"20222023","T-Mobile Arena","VGK","BUF","Adin.Hill","Ukko.Pekka.Luukkonen"
"496","Missed Shot","Penalty Shot","Toronto Maple Leafs","home","William Nylander Missing key [ED_0] Sergei Bobrovsky",3,34,3,4,"William.Nylander","Sergei.Bobrovsky","5v5","EV","0510",-81,-4,81,4,8.9,26.6,2022020706,8477939,8475683,"/api/v1/people/8475683","REGULAR",10,"TOR",5,4,"20222023","Scotiabank Arena","TOR","FLA","Ilya.Samsonov","Sergei.Bobrovsky"
"497","Shot","Penalty Shot","Toronto Maple Leafs","home","Michael Bunting Wrist Shot saved by Ilya Sorokin",2,924,3,2,"Michael.Bunting","Ilya.Sorokin","5v5","EV","0518",76,0,76,0,13,0,2022020752,8478047,8478009,"/api/v1/people/8478009","REGULAR",10,"TOR",5,2,"20222023","Scotiabank Arena","TOR","NYI","Ilya.Samsonov","Ilya.Sorokin"
"498","Missed Shot","Penalty Shot","Columbus Blue Jackets","away","Johnny Gaudreau Wide of Net Dan Vladar",1,314,0,0,"Johnny.Gaudreau","Dan.Vladar","5v5","EV","0095",73,1,-73,-1,16,3.6,2022020754,8476346,8478435,"/api/v1/people/8478435","REGULAR",29,"CBJ",4,3,"20222023","Scotiabank Saddledome","CGY","CBJ","Dan.Vladar","Joonas.Korpisalo"
"499","Shot","Penalty Shot","Los Angeles Kings","home","Kevin Fiala Wrist Shot saved by Mackenzie Blackwood",3,439,2,4,"Kevin.Fiala","Mackenzie.Blackwood","5v5","EV","0580",-78,0,78,0,11,0,2022020690,8477942,8478406,"/api/v1/people/8478406","REGULAR",26,"LAK",2,5,"20222023","Crypto.com Arena","LAK","NJD","Jonathan.Quick","Mackenzie.Blackwood"
"500","Goal","Penalty Shot","Vegas Golden Knights","away","Reilly Smith (19) Snap Shot, assists: none",2,773,1,4,"Reilly.Smith","Marc.Andre.Fleury","5v5","EV","0421",-74,2,-74,2,15.1,7.6,2022020827,8475191,8470594,"/api/v1/people/8470594","REGULAR",54,"VGK",1,5,"20222023","Xcel Energy Center","MIN","VGK","Marc.Andre.Fleury","Logan.Thompson"
"501","Missed Shot","Penalty Shot","Vancouver Canucks","away","Quinn Hughes Wide of Net Ville Husso",3,98,3,1,"Quinn.Hughes","Ville.Husso","5v5","EV","0457",78,6,-78,-6,12.5,28.6,2022020832,8480800,8478024,"/api/v1/people/8478024","REGULAR",23,"VAN",5,2,"20222023","Little Caesars Arena","DET","VAN","Ville.Husso","Spencer.Martin"
"502","Goal","Penalty Shot","Edmonton Oilers","away","Zach Hyman (27) Backhand, assists: none",2,104,1,2,"Zach.Hyman","Anton.Forsberg","5v5","EV","0292",81,8,-81,-8,11.3,45,2022020834,8475786,8476341,"/api/v1/people/8476341","REGULAR",22,"EDM",3,6,"20222023","Canadian Tire Centre","OTT","EDM","Anton.Forsberg","Jack.Campbell"
"503","Shot","Penalty Shot","Vancouver Canucks","home","Phillip Di Giuseppe Wrist Shot saved by Ville Husso",3,1140,1,6,"Phillip.Di.Giuseppe","Ville.Husso","5v5","EV","0721",-74,-5,74,5,15.8,18.4,2022020853,8476858,8478024,"/api/v1/people/8478024","REGULAR",23,"VAN",1,6,"20222023","Rogers Arena","VAN","DET","Collin.Delia","Ville.Husso"
"504","Shot","Penalty Shot","Buffalo Sabres","away","Peyton Krebs Wrist Shot saved by Kaapo Kahkonen",3,83,2,2,"Peyton.Krebs","Kaapo.Kahkonen","5v5","EV","0514",-79,-4,-79,-4,10.8,21.8,2022020893,8481522,8478039,"/api/v1/people/8478039","REGULAR",7,"BUF",2,4,"20222023","SAP Center at San Jose","SJS","BUF","Kaapo.Kahkonen","Ukko.Pekka.Luukkonen"
